04-Enero-2018 => Estacion: El Camal;1.13;33.87
05-Enero-2018 => Estacion: El Camal;0.91;29.85
06-Enero-2018 => Estacion: El Camal;1.16;27.2
07-Enero-2018 => Estacion: El Camal;0.8;24.36
08-Enero-2018 => Estacion: El Camal;0.96;25.3
09-Enero-2018 => Estacion: El Camal;1.09;35.81
10-Enero-2018 => Estacion: El Camal;0.82;35.12
11-Enero-2018 => Estacion: El Camal;0.85;32.57
12-Enero-2018 => Estacion: El Camal;0.76;33.11
13-Enero-2018 => Estacion: El Camal;0.81;26.24
14-Enero-2018 => Estacion: El Camal;0.64;23.27
15-Enero-2018 => Estacion: El Camal;1.03;19.16
16-Enero-2018 => Estacion: El Camal;1.19;28.38
17-Enero-2018 => Estacion: El Camal;0.83;26.71
18-Enero-2018 => Estacion: El Camal;0.77;20.26
19-Enero-2018 => Estacion: El Camal;0.73;21.29
20-Enero-2018 => Estacion: El Camal;0.81;17.45
21-Enero-2018 => Estacion: El Camal;0.57;15.22
22-Enero-2018 => Estacion: El Camal;0.84;15.03
23-Enero-2018 => Estacion: El Camal;0.89;19.22
24-Enero-2018 => Estacion: El Camal;0.81;18.76
25-Enero-2018 => Estacion: El Camal;0.7;17.14
26-Enero-2018 => Estacion: El Camal;0.81;20.06
27-Enero-2018 => Estacion: El Camal;0.61;19.88
28-Enero-2018 => Estacion: El Camal;0.48;18.33
29-Enero-2018 => Estacion: El Camal;0.7;20.02
30-Enero-2018 => Estacion: El Camal;0.75;21.93
31-Enero-2018 => Estacion: El Camal;0.81;26.71
01-Enero-2018 => Estacion: Centro;0.68;39.42
02-Enero-2018 => Estacion: Centro;1.04;36.79
03-Enero-2018 => Estacion: Centro;1.13;28.04
04-Enero-2018 => Estacion: Centro;0.86;28.76
05-Enero-2018 => Estacion: Centro;0.84;24.6
06-Enero-2018 => Estacion: Centro;0.94;24.21
07-Enero-2018 => Estacion: Centro;0.54;22.99
08-Enero-2018 => Estacion: Centro;0.72;21.16
09-Enero-2018 => Estacion: Centro;1.04;30.83
10-Enero-2018 => Estacion: Centro;0.77;27.95
11-Enero-2018 => Estacion: Centro;0.83;27.45
12-Enero-2018 => Estacion: Centro;0.76;26.25
13-Enero-2018 => Estacion: Centro;0.65;22.26
14-Enero-2018 => Estacion: Centro;0.64;18.12
15-Enero-2018 => Estacion: Centro;0.96;15.86
16-Enero-2018 => Estacion: Centro;1.04;22.73
17-Enero-2018 => Estacion: Centro;0.76;20.66
18-Enero-2018 => Estacion: Centro;0.63;16.77
19-Enero-2018 => Estacion: Centro;0.59;16.13
20-Enero-2018 => Estacion: Centro;0.61;12.84
21-Enero-2018 => Estacion: Centro;0.47;10.63
22-Enero-2018 => Estacion: Centro;0.84;17.54
23-Enero-2018 => Estacion: Centro;0.61;18.91
24-Enero-2018 => Estacion: Centro;0.47;13.28
25-Enero-2018 => Estacion: Centro;0.48;10.05
26-Enero-2018 => Estacion: Centro;0.83;18.36
27-Enero-2018 => Estacion: Centro;0.7;18.31
28-Enero-2018 => Estacion: Centro;0.59;16.86
29-Enero-2018 => Estacion: Centro;0.77;18.81
